post_id	post_name	status	value
12485	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12486	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12487	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12488	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12489	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12490	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12491	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12492	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12493	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12496	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12497	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12498	3322-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
9082	villa-tegui	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12500	4771-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3155	villa-pep-luis-can-pep-mortera	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
4001	villa-patxi	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12502	4001-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3091	villa-alberto	private	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12504	3091-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12505	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12506	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
2782	villa-daniel	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12507	2782-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12508	4435-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
2818	villa-nieves	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12509	2818-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
4327	villa-monte-cristo	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12510	4327-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12511	airstream-trailer-cala-martina	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12570	3322-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12571	3322-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12572	3322-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12573	3322-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12579	12511-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12608	4771-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12610	4771-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12611	4771-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12613	4473-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12615	4473-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12617	4473-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12648	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
4067	villa-km2	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12651	4067-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12719	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12720	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12733	4435-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12748	4067-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12749	4067-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12770	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12838	9082-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12842	9082-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12843	9082-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12857	3174-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12859	3174-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
2894	villa-tom	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12902	2894-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12904	2894-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12908	3322-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12909	3322-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12911	4067-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12913	9082-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12914	3524-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12915	3524-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12916	3524-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12918	3155-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12920	4771-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12922	3174-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12924	2929-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12926	2782-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12928	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12930	4435-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12932	2818-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3186	villa-bella-vista	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12992	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13006	3155-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13009	2818-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3870	villa-tinto	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13014	3870-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13024	3174-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13028	9082-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13030	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13038	4435-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
4732	casa-maymo	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13041	4732-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
7076	villa-jesus	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13043	7076-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
6629	villa-louisa	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13045	6629-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3223	villa-ania	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13048	3223-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
7174	the-bali-house	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13049	7174-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3054	villa-garcia	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13052	3054-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
5092	casa-caleta	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13055	5092-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
2966	villa-paquita	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13057	2966-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3131	villa-saroca	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13063	3131-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13066	4771-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13068	2929-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13075	7076-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
9792	reyo-de-sol	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13076	9792-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
9252	can-xocolata	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13078	9252-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
9012	villa-george-san-jordi	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13079	9012-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
7506	can-stella	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13080	7506-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
6901	villa-oasis	private	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13081	6901-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13082	6629-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13083	3223-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
4790	villa-david-can-tastem	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13084	4790-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
5365	casa-josie	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13086	5365-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
6974	casa-can-cortes	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13087	6974-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13088	3054-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
6434	villa-can-marc	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13089	6434-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13093	9082-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13094	9082-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13105	ibiza-villa-with-beautiful-sea-views	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13111	13105-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13164	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13166	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13174	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13175	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13176	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13177	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13178	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13179	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13184	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
9129	villa-omni	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13186	9129-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13187	9129-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13188	9129-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13190	9129-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13192	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13193	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13194	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13195	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
10903	villa-for-sale-with-tourist-licence	private	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13208	10903-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13211	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13224	3186-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13229	12511-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13232	13105-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13237	10903-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13239	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13241	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13242	13105-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13243	9082-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13250	2894-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13272	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13284	2894-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13288	10920-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13304	3186-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13346	casa-buscastell	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13347	13346-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13349	jade-apartments	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13350	13349-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13351	casa-mar	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13352	13351-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13356	casa-balinesa-2	private	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13357	13356-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13359	13346-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13385	13346-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13397	13349-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13398	13349-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13399	13349-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13400	13351-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13401	13346-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13420	13351-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13434	13356-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13435	13356-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13436	casa-deborah	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13454	13436-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13456	13346-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13457	13351-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13458	13356-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13459	13356-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13460	13436-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13461	13436-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13494	title-sep-ibiza-villas-for-sale-page-sep-sitename	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13495	13494-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13496	13494-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13497	casa-rosella	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13498	13497-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13499	13497-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13500	cana-michel	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13520	13500-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13521	13500-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13523	the-towners	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13524	13523-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13546	13523-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13547	13523-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13548	13500-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13549	villa-baougain	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13525	13523-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13550	13549-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13551	13549-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13577	13549-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13578	villa-delight	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13595	13549-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13596	13578-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13597	13578-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13598	casa-sagramassa	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13599	13598-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13623	13598-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13624	villa-isabelle	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13625	13624-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13644	13624-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13645	green-for-sur	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13658	13645-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13659	can-flow	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13681	13659-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13682	villa-darcy	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13703	13682-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13704	prado-estate	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13725	13704-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13726	cala-lenya-villas	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13727	13726-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13737	13726-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13738	villa-lisa	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13757	13738-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13883	13682-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13884	13704-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13903	13659-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13904	13704-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13905	13738-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13906	13726-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13949	13645-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13970	13624-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13971	13598-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
13993	13598-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14017	13549-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14018	13549-autosave-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14039	13523-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14073	13500-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14081	13497-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14110	13494-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14129	13436-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14142	13356-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
14166	13351-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
